INFO:2021-04-01 00:49:09.5490:ConnectionTest.Program.Main:Testing Connection
DEBUG:2021-04-01 00:49:10.1354:ConnectionTest.Program.Main(Program.cs:16):Connected
DEBUG:2021-04-01 00:49:10.1500:ConnectionTest.Program.Main(Program.cs:18):Question 1:
DEBUG:2021-04-01 00:49:13.3593:ConnectionTest.Program.Main(Program.cs:18):Flight: 729d368, Row: 1, Alt: 3982.235294117647
DEBUG:2021-04-01 00:49:13.3593:ConnectionTest.Program.Main(Program.cs:18):Flight: 729dbb8, Row: 1, Alt: 1950
DEBUG:2021-04-01 00:49:13.3770:ConnectionTest.Program.Main(Program.cs:18):Flight: 729dfef, Row: 1, Alt: 5093.888888888889
DEBUG:2021-04-01 00:49:13.3770:ConnectionTest.Program.Main(Program.cs:18):Flight: 729ff89, Row: 1, Alt: 3566.6666666666665
DEBUG:2021-04-01 00:49:13.3770:ConnectionTest.Program.Main(Program.cs:18):Flight: 72a0c3f, Row: 1, Alt: 896.6774193548387
DEBUG:2021-04-01 00:49:13.3897:ConnectionTest.Program.Main(Program.cs:18):Flight: 72a2216, Row: 1, Alt: 6414.919540229885
DEBUG:2021-04-01 00:49:13.4059:ConnectionTest.Program.Main(Program.cs:18):Flight: 72a3e85, Row: 1, Alt: 4149.833333333333
DEBUG:2021-04-01 00:49:13.4059:ConnectionTest.Program.Main(Program.cs:18):Flight: 72aabc1, Row: 1, Alt: 3653.133333333333
DEBUG:2021-04-01 00:49:13.4059:ConnectionTest.Program.Main(Program.cs:18):Flight: 72ab60b, Row: 1, Alt: 6267.025
DEBUG:2021-04-01 00:49:13.4608:ConnectionTest.Program.Main(Program.cs:18):Flight: 72ab690, Row: 1, Alt: 9743.711111111112
DEBUG:2021-04-01 00:49:13.4811:ConnectionTest.Program.Main(Program.cs:18):Flight: 72acf04, Row: 1, Alt: 1142.857142857143
DEBUG:2021-04-01 00:49:13.4920:ConnectionTest.Program.Main(Program.cs:18):Flight: 72acf7e, Row: 1, Alt: 1873.8214285714287
DEBUG:2021-04-01 00:49:13.5076:ConnectionTest.Program.Main(Program.cs:18):Flight: 72acfb0, Row: 1, Alt: 4526.814814814815
DEBUG:2021-04-01 00:49:13.5076:ConnectionTest.Program.Main(Program.cs:18):Flight: 72adb72, Row: 1, Alt: 3459.6666666666665
DEBUG:2021-04-01 00:49:13.5206:ConnectionTest.Program.Main(Program.cs:18):Flight: 72aed70, Row: 1, Alt: 13850
DEBUG:2021-04-01 00:49:13.5206:ConnectionTest.Program.Main(Program.cs:18):Flight: 72aeee1, Row: 1, Alt: 14311
DEBUG:2021-04-01 00:49:13.5206:ConnectionTest.Program.Main(Program.cs:18):Flight: 72af264, Row: 1, Alt: 14400
DEBUG:2021-04-01 00:49:13.5206:ConnectionTest.Program.Main(Program.cs:18):Flight: 72af620, Row: 1, Alt: 2027.5
DEBUG:2021-04-01 00:49:13.5389:ConnectionTest.Program.Main(Program.cs:18):Flight: 72afaab, Row: 1, Alt: 783.1666666666666
DEBUG:2021-04-01 00:49:13.5389:ConnectionTest.Program.Main(Program.cs:18):Flight: 72aff66, Row: 1, Alt: 5489.95652173913
DEBUG:2021-04-01 00:49:13.5475:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b04ce, Row: 1, Alt: 7422.1
DEBUG:2021-04-01 00:49:13.7069:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b0930, Row: 1, Alt: 1171.4285714285713
DEBUG:2021-04-01 00:49:13.7339:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b0e2a, Row: 1, Alt: 21623.619047619046
DEBUG:2021-04-01 00:49:13.8101:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b27ed, Row: 1, Alt: 706.5217391304348
DEBUG:2021-04-01 00:49:13.8367:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b299a, Row: 1, Alt: 15500
DEBUG:2021-04-01 00:49:13.8431:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b31a3, Row: 1, Alt: 9319.821305841924
DEBUG:2021-04-01 00:49:13.8431:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b35a3, Row: 1, Alt: 5214.787234042553
DEBUG:2021-04-01 00:49:13.9089:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b38e9, Row: 1, Alt: 700
DEBUG:2021-04-01 00:49:13.9089:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b3b00, Row: 1, Alt: 3239.8
DEBUG:2021-04-01 00:49:13.9089:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b3b2a, Row: 1, Alt: 935.7142857142857
DEBUG:2021-04-01 00:49:13.9264:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b485f, Row: 1, Alt: 1300
DEBUG:2021-04-01 00:49:13.9264:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b4cc7, Row: 1, Alt: 11499.8
DEBUG:2021-04-01 00:49:13.9549:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b5487, Row: 1, Alt: 6147.423076923077
DEBUG:2021-04-01 00:49:13.9549:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b54f7, Row: 1, Alt: 11500
DEBUG:2021-04-01 00:49:13.9549:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b5b0f, Row: 1, Alt: 3302.3333333333335
DEBUG:2021-04-01 00:49:13.9751:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b5d5b, Row: 1, Alt: 3418.090909090909
DEBUG:2021-04-01 00:49:13.9751:ConnectionTest.Program.Main(Program.cs:18):Flight: 72b5e66, Row: 1, Alt: 5297.461538461538
